age,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,auto_year,fraud_reported
48,2014-10-17,OH,250/500,1000,7.249861614220443,0,466132,MALE,MD,craft-repair,sleeping,husband,53300,0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,5,1,YES,1,2,YES,71610,Saab,92x,2004,Y
42,2006-06-27,IN,250/500,2000,7.088592401214743,5000000,468176,MALE,MD,machine-op-inspct,reading,other-relative,0,0,2015-01-21,Vehicle Theft,?,Minor Damage,Police,VA,Riverwood,8,1,?,0,0,?,5070,Mercedes,E400,2007,Y
29,2000-09-06,OH,100/300,2000,7.254276851456352,5000000,430632,FEMALE,PhD,sales,board-games,own-child,35100,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7,3,NO,2,3,NO,34650,Dodge,RAM,2007,N
41,1990-05-25,IL,250/500,2000,7.256113736616489,6000000,608117,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,5,1,?,1,2,NO,63400,Chevrolet,Tahoe,2014,Y
44,2014-06-06,IL,500/1000,1000,7.368282902364818,6000000,610706,MALE,Associate,sales,board-games,unmarried,66000,-46000,2015-02-17,Vehicle Theft,?,Minor Damage,Unknown,NY,Arlington,20,1,NO,0,1,NO,6500,Accura,RSX,2009,N
39,2006-10-12,OH,250/500,1000,7.209414218364712,0,478456,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,19,3,NO,0,2,NO,64100,Saab,95,2003,Y
34,2000-06-04,IN,250/500,1000,7.196199560878482,0,441716,MALE,PhD,prof-specialty,board-games,husband,0,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,0,3,?,0,0,?,78650,Nissan,Pathfinder,2012,N
37,1990-02-03,IL,100/300,1000,7.037053976377468,0,603195,MALE,Associate,tech-support,base-jumping,unmarried,0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,23,3,?,2,2,YES,51590,Audi,A5,2015,N
33,1997-02-05,IL,100/300,500,7.275165394221036,0,601734,FEMALE,PhD,other-service,golf,own-child,0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,21,1,NO,1,1,YES,27700,Toyota,Camry,2012,N
42,2011-07-25,IL,100/300,500,7.182868695758063,0,600983,MALE,PhD,priv-house-serv,camping,wife,0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,14,1,NO,2,1,?,42300,Saab,92x,1996,N
42,2002-05-26,OH,100/300,500,7.134189410394413,4000000,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,22,1,YES,2,2,?,87010,Ford,F150,2002,N
61,1999-05-29,OH,100/300,2000,7.037168202342912,0,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,21,3,YES,1,2,YES,114920,Audi,A3,2006,N
23,1997-11-20,OH,500/1000,500,7.103618071342758,3000000,432220,MALE,MD,protective-serv,reading,wife,0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,9,1,YES,1,0,NO,56520,Saab,95,2000,N
34,2012-10-26,OH,100/300,1000,6.843334084294882,0,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,2015-01-08,Parked Car,?,Minor Damage,Unknown,SC,Springfield,5,1,NO,1,1,NO,7280,Toyota,Highlander,2010,N
38,1998-12-28,OH,250/500,2000,7.171756664174365,0,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,12,1,NO,0,2,YES,46200,Dodge,Neon,2003,Y
58,1992-10-19,IN,100/300,2000,7.032094553237744,0,458733,FEMALE,MD,transport-moving,movies,other-relative,55700,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,12,4,YES,0,0,NO,63120,Accura,MDX,1999,Y
26,2005-06-08,OH,500/1000,1000,7.090443435236963,5000000,619884,MALE,College,machine-op-inspct,hiking,own-child,63600,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,0,3,?,1,2,YES,52110,Nissan,Maxima,2012,N
31,2004-11-15,IN,500/1000,500,6.564757799192448,6000000,470610,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,9,1,NO,0,2,YES,77880,Suburu,Legacy,2015,N
37,2014-12-28,OH,500/1000,500,7.226368997302037,0,472135,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,19,1,YES,1,0,NO,72930,Accura,TL,2015,N
39,1992-08-02,IN,500/1000,2000,7.297585462841867,0,477670,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8,3,?,2,0,NO,60400,Nissan,Pathfinder,2014,N
62,2002-06-25,IN,250/500,1000,7.080834254409159,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,20,3,NO,1,0,?,47160,Suburu,Impreza,2011,N
41,2005-11-27,IL,500/1000,2000,6.775537309154428,0,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,15,3,?,1,2,?,37840,Accura,RSX,1996,N
55,1994-05-27,IL,100/300,2000,6.88056905993782,0,443920,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,20,3,NO,0,0,YES,71520,Suburu,Forrestor,2000,Y
55,1991-02-08,IN,100/300,2000,7.146606811449394,0,453148,MALE,MD,priv-house-serv,chess,own-child,0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,15,1,?,2,2,?,98160,Dodge,RAM,2011,Y
